Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ARMOUR,ST,39.15,-4.98,66.05,0.02,0.01
SRPL,BZ,0.58,-1.69,12.42,1.31,0.01
GSEC10IETF,EQ,258.51,-0.19,706.54,0,0.01
1018GS2026,GS,106.49,-0.48,15973.5,0.01,0.01
CALSOFTPP,E1,4,-7.19,18.55,0.19,0.01
WEIZMANIND,EQ,80.2,-1.21,124.26,0.01,0.01
HITECHCORP,EQ,159.88,-0.08,274.61,0,0.01
THESL,SM,25.05,-4.93,31.28,0.03,0.01
930SFL28,YP,1037,-5.73,33.54,0,0.01
KHAITANLTD,EQ,91.05,-1.59,43.25,0.01,0.01
REGENCERAM,EQ,44.75,-3.05,118.33,0.01,0.01
BLUECOAST,EQ,26.6,-4.97,45.73,0.03,0.01
BULKCORP,SM,56,-4.92,42.08,0.01,0.01
CURAA,BE,75.65,-4.94,74.89,0.01,0.01
PEARLPOLY,EQ,20.07,-1.81,33.79,0.03,0.01
ORIENTLTD,EQ,62.06,-4.93,62.06,0.01,0.01
AMBICAAGAR,EQ,23.4,-2.42,40.2,0.03,0.01
SHYAMTEL,EQ,10.25,-2.38,11.55,0.06,0.01
NKIND,EQ,62.4,-3.44,37.5,0.01,0.01
MFML,EQ,23.03,-1.41,24.46,0.03,0.01
79NHIT35,N1,311,-0.13,466.5,0,0.01
601GS2030,GS,99,-1,98010,0.01,0.01
INCREDIBLE,EQ,35.5,-2.04,166.01,0.02,0.01
ITTL,ST,83.35,-2,83.35,0.01,0.01
563GS2026,GS,101.5,-0.1,162910.69,0.01,0.01
97SFL28,YS,1068,-0.84,41.63,0,0.01
ANKITMETAL,BZ,1.7,-2.86,23.99,0.35,0.01
GOLDENTOBC,BZ,30.32,-0.72,53.39,0.02,0.01
364D151026,TB,95.45,-0.54,6914.17,0.01,0.01
763GS2059,GS,103,-4.59,83430,0.01,0.01
898LTF29,N7,1065,-1.3,108.36,0,0.01
888NHB29,N5,5600,-0.74,96.02,0,0.01
AUROIMPEX,SM,35,-1.27,42.7,0.02,0.01
PRECISION,SM,9.05,-4.74,20.78,0.06,0.01
MALUPAPER,EQ,31.8,-0.87,54.25,0.02,0.01
ICDSLTD,EQ,41.99,-2.8,54.7,0.01,0.01
QUADPRO,SM,2.15,-4.44,10.87,0.24,0.01
MTEDUCARE,BE,1.58,-2.47,11.41,0.33,0.01
PULZ,SM,24.8,-0.2,54.08,0.02,0
PANSARI,BE,294,-0.1,512.94,0,0
892PFCL33,N8,1236,-0.08,1065.38,0,0
ARVEE,BE,149.1,-1.38,164.31,0,0
PRUDMOULI,EQ,19.34,-3.25,62.38,0.03,0
TGL,ST,60.7,-1.94,72.84,0.01,0
888SCL25E,N4,785,-9.77,7.22,0,0
TECILCHEM,EQ,14.91,-7.39,28.27,0.03,0
SWASTIK,SM,19,-3.06,44.14,0.02,0
21STCENMGM,EQ,38.79,-2,40.73,0.01,0
AEL12126,NI,996.1,-0.19,19.84,0,0
885AEL28,NB,1000,-1.96,120.84,0,0
QVCEL,SM,25.55,-3.95,26.7,0.02,0
1102NFL26,N8,1044.89,-0.5,53.07,0,0
10IIFL28A,NE,1068.08,-0.27,293.39,0,0
87LTF27,NH,1030,-0.29,18.01,0,0
SAHAJ,SZ,4.45,-4.3,5.86,0.08,0
WIPL,EQ,144.4,-4.24,122.56,0,0
YCCL,SM,11.25,-6.25,21.72,0.03,0
931SFL26,Z5,1025,-0.54,21.56,0,0
MODTHREAD,EQ,40.01,-0.37,139.14,0.01,0
GILT5BETA,EQ,63.34,-0.63,24.98,0,0
ORTEL,BZ,1.33,-5,4.39,0.18,0
VINEET-RE,BE,0.62,-4.62,0.62,0.39,0
UMESLTD,EQ,4.77,-0.42,12.6,0.05,0
MEP,BZ,1.47,-2,26.97,0.15,0
BLUECHIP,BE,2.52,-1.95,13.94,0.08,0
1065NFL27,NC,1005,-0.26,94.76,0,0
DRSCARGO,SM,24.7,-4.82,18.6,0.01,0
NORBTEAEXP,BE,87.63,-1.99,136.21,0,0
CIFCZC28A,N5,1040,-15.79,12.93,0,0
762GS2039,GS,105.05,-0.52,35776.56,0,0
IMC1,N2,252,-1.18,61.49,0,0
BGLOBAL,BZ,3.07,-4.95,4.86,0.05,0
885IHL26,N1,980.2,-1.98,269.07,0,0
QUINTEGRA,BE,1.35,-4.93,3.62,0.1,0
IMC1,N0,255,-1.16,62.22,0,0
CMICABLES,BZ,5.05,-4.9,8.09,0.02,0
NIRAJISPAT,EQ,165,-0.6,9.9,0,0
SURANI,SM,61,-1.85,94.84,0,0
1025SCL34B,N1,985,-1.5,14.62,0,0
PERFECT,SZ,3.7,-1.33,6.47,0.03,0
820IIFL27,N9,988.5,-0.05,52.05,0,0
667GS2050,GS,92.29,-0.28,139868.37,0,0
675GS2029,GS,101.15,-0.16,103173,0,0
737GR2054,GS,101,-1.44,10100,0,0
948SCL26I,AX,316,-16.4,1.37,0,0
758GJ32,SG,97.02,-2,970.2,0,0
699TN32,SG,95,-5,1900,0,0
ZENITHEXPO,EQ,186.5,-4.36,100.64,0,0
79NHIT47,N3,418,-0.24,627,0,0
WINSOME,BZ,1.66,-1.78,11.74,0.04,0
WEWIN,EQ,42.1,-1.73,42.78,0,0
IMC1,N1,253,-0.98,61.73,0,0
850CIFCL26,NE,998,-0.21,227.73,0,0
GSEC10ABSL,EQ,110.46,-0.26,31.78,0,0
880IREDA29,N5,1166.01,-0.84,273.49,0,0
769NHAI31,NE,1119,-0.04,1261.86,0,0
SHIVAUM,EQ,296.85,-0.15,403.73,0,0
SANCO,BZ,3.15,-1.87,4.12,0,0
813GS2045,GS,113.5,-0.35,107825,0,0
UNIVAFOODS,BE,11.38,-2.07,16.3,0,0
