Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TOP100CASE,EQ,10.99,1.01,125.23,8.42,0.92
DBOL,EQ,99.45,7.11,660.22,0.96,0.92
SGBMR29XII,GB,15286,1.46,4938.76,0.01,0.92
SGBJUL28IV,GB,15300,1.47,6320.15,0.01,0.91
GEMAROMA,EQ,195.01,0.56,1018.68,0.46,0.9
MIDCAP,EQ,172.87,0.14,176.52,0.52,0.9
IVZINGOLD,EQ,13420,0.32,750.4,0.01,0.9
ORTINGLOBE,BE,19.9,4.96,16.18,4.54,0.9
FOODSIN,EQ,62,2.41,455.17,1.45,0.89
ATMASTCO,SM,159.85,4.99,395.38,0.55,0.88
MAHASTEEL,BE,761,4.16,1250.66,0.12,0.88
MOGOLD,EQ,153.25,1.06,1714.21,0.58,0.87
SILGO,EQ,73.4,1.87,234.78,1.19,0.87
CUBEXTUB,EQ,110,0.26,157.51,0.78,0.87
DHANBANK,EQ,23.89,0.17,942.94,3.59,0.86
VEEDOL,EQ,1420,0.78,2474.21,0.06,0.85
VASWANI,EQ,62.6,4.35,196.23,1.4,0.84
LOWVOLIETF,EQ,22.7,0.58,3752.39,3.67,0.83
NAVNETEDUL,EQ,153,0.95,3384.56,0.55,0.83
SYSTMTXC,EQ,80.48,2.73,1098.86,1.05,0.81
EVINDIA,EQ,30.7,0.66,160.25,2.62,0.8
SUMMITSEC,EQ,1755,0.72,1913.26,0.05,0.79
CHEMICAL,EQ,28.54,0.28,47.39,2.78,0.79
738GS2027,GS,103.44,0.07,146884.8,0.77,0.79
ITALIANE,SM,39.4,19.94,58.22,2.08,0.79
VAL30IETF,EQ,16.15,1.06,32.02,4.82,0.78
NOVAAGRI,EQ,32.99,8.45,305.22,2.48,0.77
COMMOIETF,EQ,100.66,1.03,117.93,0.76,0.77
ELM250,EQ,16.87,2.8,127.18,4.59,0.76
NIFTYADD,EQ,267.35,0.17,218.48,0.28,0.75
RUPA,EQ,143.62,0.11,1142.13,0.53,0.75
URJA,EQ,9.89,0.2,519.67,7.6,0.75
HATSUN,EQ,900,1.12,20047.34,0.08,0.74
DANISH,SM,665,0.45,1309.49,0.11,0.72
TERASOFT,EQ,402.5,5,503.6,0.18,0.72
DISHTV,EQ,3.01,0.33,554.22,24.12,0.72
THEJO,EQ,1698,1.63,1841.85,0.04,0.71
CELLECOR,SM,26.5,0.38,584.8,2.7,0.71
BSE500IETF,EQ,39.56,0.53,350.2,1.77,0.7
NIF100BEES,EQ,277.95,0.59,323.44,0.25,0.7
HDFCMID150,EQ,22.19,0.36,153.08,3.16,0.7
BANKNIFTY1,EQ,631.1,0.41,6535.48,0.11,0.7
AAKASH,EQ,8.46,10.16,85.66,7.99,0.7
KRISHIVAL,EQ,330,0.53,845.73,0.21,0.69
PVTBANIETF,EQ,29.15,0.48,3115.74,2.38,0.69
GUFICBIO,EQ,288.95,0.77,2897.66,0.24,0.69
WSI,EQ,76.25,3.57,578.45,0.93,0.69
ONMOBILE,EQ,52,0.12,552.87,1.33,0.68
INDIANHUME,EQ,364.5,0.93,1920.25,0.19,0.68
TCIEXP,EQ,569,0.28,2186.04,0.12,0.68
MONTECARLO,EQ,577.5,0.28,1197.28,0.12,0.68
OMAXE,EQ,78.96,0.71,1444.18,0.86,0.68
UFBL,EQ,250.55,0.38,979.31,0.27,0.68
BFUTILITIE,BZ,510,0.83,1921.05,0.13,0.67
GROWWMETAL,EQ,11.3,0.44,34.64,5.93,0.67
MANCREDIT,EQ,178.92,3.31,377.77,0.38,0.66
XELPMOC,EQ,137.5,7.04,202.94,0.48,0.66
ELECTHERM,EQ,735,1.87,936.6,0.09,0.66
MUKKA,EQ,23.72,0.68,711.6,2.78,0.65
SAGCEM,EQ,201,0.43,2627.22,0.33,0.65
ISHANCH,EQ,63,8.49,164.68,1.06,0.65
BOROSCI,EQ,112.6,0.45,1001.54,0.57,0.64
CHAVDA,SM,109.7,3.49,270.48,0.6,0.64
INSECTICID,EQ,617,0.17,1795.34,0.1,0.64
DBCORP,EQ,228,0.04,4063.93,0.28,0.64
NIFTYBETF,EQ,260.92,0.18,195.97,0.24,0.63
SBIBPB,EQ,55.74,1.66,1604.33,1.14,0.63
LIKHITHA,EQ,160,1.5,631.2,0.4,0.62
KRONOX,EQ,120.75,0.46,448.03,0.52,0.62
JINDALPHOT,EQ,1369.9,0.4,1405.29,0.05,0.62
SNOWMAN,EQ,40.48,1.86,676.37,1.56,0.62
CENTRUM,EQ,25.34,4.45,1164.57,2.5,0.61
AMCL,ST,384,4.92,454.46,0.16,0.61
SIGNPOST,EQ,243,0.46,1298.84,0.25,0.6
SETFNIFBK,EQ,627.37,0.94,4117.42,0.1,0.6
KAYTEX,SM,69.95,19.98,102.82,0.89,0.6
DEN,EQ,28.69,0.7,1369.16,2.1,0.6
SGBAPR28I,GB,15348,1.62,2721.01,0,0.59
RAMRAT,EQ,320.05,0.79,2986.1,0.18,0.59
NEXT50BETA,EQ,74.2,0.16,2253.2,0.79,0.59
ATL,EQ,25.7,0.16,750.08,2.27,0.59
HILTON,EQ,21.18,0.57,73.49,2.74,0.58
HDFCPSUBK,EQ,97.9,1.99,33.11,0.6,0.58
ALLTIME,EQ,246.5,0.73,1614.77,0.24,0.58
SARLAPOLY,EQ,85,1.36,709.78,0.68,0.58
SHIVALIK,EQ,305,2.13,480.39,0.19,0.58
MAKEINDIA,EQ,158.58,0.85,240.97,0.36,0.57
MONARCH,EQ,289,0.19,2290.85,0.2,0.57
MUFTI,EQ,89.4,2.09,584.41,0.64,0.57
AUTOIETF,EQ,28.74,0.6,178.12,1.97,0.56
SGBDE30III,GB,15970.11,4.47,4489.21,0,0.55
NEXT50,EQ,713.32,0.48,1144.62,0.08,0.55
PASUPTAC,EQ,52.85,0.23,471.07,1.03,0.54
KAMATHOTEL,EQ,188.4,0.89,555.4,0.29,0.54
NURECA,EQ,292.45,2.51,279.05,0.18,0.53
BSLNIFTY,EQ,29.82,0.51,3311.86,1.79,0.53
930APMD32,N0,103530,1.5,1035.29,0,0.53
MOMOMENTUM,EQ,63.65,0.58,125.93,0.83,0.52
SGBMAY29I,GB,15389,1.22,8185.37,0,0.52
NV20IETF,EQ,14.92,0.47,189.82,3.49,0.52
CCCL,EQ,17.7,2.73,790.76,2.95,0.52
ANYA,SM,19.65,0.51,235.8,2.7,0.52
GALAPREC,EQ,780.15,0.15,998.4,0.07,0.52
GOLD360,EQ,150.55,0.07,144.21,0.34,0.52
MUKANDLTD,EQ,129.5,1.55,1871.22,0.4,0.51
DIGISPICE,EQ,19.9,0.4,466.6,2.53,0.51
STEELCAS,EQ,241,3.54,2438.92,0.22,0.51
SSEGL,SM,378,0.28,981.99,0.13,0.49
GOACARBON,EQ,382,0.54,349.57,0.13,0.48
BANKPSU,EQ,97,1.92,67.96,0.5,0.48
OSIAHYPER,EQ,10.98,4.97,180.7,4.47,0.48
UNICHEMLAB,EQ,368.75,0.86,2596.21,0.13,0.48
SURAKSHA,EQ,281.5,0.39,1466.07,0.17,0.47
SIGMA,EQ,41,1.36,421.38,1.15,0.46
OMFREIGHT,EQ,88.9,0.78,299.37,0.52,0.46
THEMISMED,EQ,90.9,0.66,837.19,0.5,0.46
QNIFTY,EQ,278.8,0.08,82.84,0.16,0.45
SGBN28VIII,GB,15211,0.55,2393.39,0,0.44
SUKHJITS,EQ,171.5,6.93,535.83,0.26,0.44
JKIPL,EQ,69.36,2.18,266.25,0.65,0.44
EPWINDIA,SM,122,4.27,140.05,0.36,0.44
DECCANCE,EQ,692.95,0.95,970.65,0.06,0.44
DCMSRIND,EQ,37.2,0.13,323.61,1.18,0.44
HARSHA,EQ,382,0.51,3477.88,0.11,0.43
SGBJUL27,GB,15200,1.33,814.64,0,0.43
3IINFOLTD,EQ,14.6,0.27,302.8,2.93,0.43
FELIX,SM,197.75,0.92,340.26,0.22,0.43
VIESL,SM,267.45,1.61,659.06,0.16,0.42
SANATHAN,EQ,427,3.05,3604.05,0.1,0.42
TVTODAY,EQ,125.87,0.68,751.05,0.34,0.42
NCLIND,EQ,186.35,0.46,842.91,0.23,0.42
GSLSU,BE,84.67,5,358.85,0.5,0.42
NIFTYCASE,EQ,10.2,0.49,19.98,4.06,0.41
DEFENCE,EQ,67.77,0.76,9.75,0.6,0.41
OAL,EQ,283,1.27,952.4,0.14,0.4
RML,EQ,826,0.26,2282.83,0.05,0.4
LOKESHMACH,EQ,181,0.56,361.94,0.22,0.4
INDOAMIN,EQ,114.25,1.02,829.31,0.35,0.39
MEGATHERM,SM,213.35,0.07,401.97,0.18,0.39
BODALCHEM,EQ,48.49,0.87,610.7,0.81,0.39
SUDARCOLOR,EQ,362,2.17,835.56,0.11,0.39
PROFX,SM,61,1.58,106.77,0.64,0.39
SGBMAR31IV,GB,15669.99,1.8,5533.99,0,0.39
GJL,ST,141.6,4.97,205.42,0.27,0.38
LEXUS,EQ,37.9,3.64,77.66,1.04,0.38
737GS2028,GS,106.33,0.88,79747.5,0.36,0.37
DHRUV,EQ,26.65,8.6,50.55,1.41,0.37
RCDL,SM,29.3,10.98,70.07,1.29,0.37
PCCL,SM,205,1.46,506.35,0.18,0.36
SGBMAY26,GB,15250,0.99,991.76,0,0.36
GLOBE,EQ,3.02,9.03,136.03,12.59,0.36
115VCCL28,N0,99873.97,0.06,19.97,0,0.36
SGBMAY28,GB,15300,1.21,3892.77,0,0.36
AMRUTANJAN,EQ,615.25,0.19,1778.73,0.06,0.36
HDFCNEXT50,EQ,71.6,1.76,146.94,0.49,0.35
AGROPHOS,EQ,34.59,0.32,70.13,0.99,0.34
NIFTY100EW,EQ,41,20.41,6.74,0.97,0.34
SHRIAHIMSA,SM,237,0.17,552.92,0.14,0.34
SGBJUN29II,GB,15335,1.39,2911.31,0,0.34
HEALTHY,EQ,14.95,0.47,53.41,2.26,0.34
SADHNANIQ,EQ,2,9.89,65.88,16.77,0.34
BFSI,EQ,29.17,0.66,465.52,1.15,0.34
CUDML,SM,114.7,0.31,202.4,0.29,0.33
AXITA,BE,9.5,0.96,363.43,3.51,0.33
BASML,EQ,24.16,1,193.09,1.35,0.33
SCHAND,EQ,159.5,0.29,562.59,0.21,0.33
79NHIT40,N2,330,5.1,495,0.1,0.32
SETF10GILT,EQ,259.97,0.13,3257.52,0.12,0.32
TOP10ADD,EQ,96.1,0.44,858.25,0.33,0.32
SANGINITA,EQ,14.78,3.21,38.28,2.18,0.32
SGBJU29III,GB,15300,1.17,2263.22,0,0.32
ELIQUID,EQ,1019.58,0.04,32.77,0.03,0.32
DIGIKORE,SM,84.75,4.89,107.34,0.38,0.32
BANKBETA,EQ,63.01,0.64,4079.27,0.5,0.32
SGBNV29VII,GB,15350,1.05,4986.05,0,0.31
DENEERS,ST,161.5,2.47,138.99,0.2,0.31
KAPSTON,BE,396.95,0.67,805.34,0.08,0.31
PRAXIS,EQ,8.2,4.99,151.63,3.91,0.31
GROWWCAPM,EQ,9.91,0.71,21.58,3.16,0.31
DIVOPPBEES,EQ,83.34,0.6,72.4,0.37,0.31
CAPITALSFB,EQ,264.5,0.46,1201.33,0.12,0.31
CHOICEGOLD,EQ,153.3,0.49,77.41,0.2,0.31
ABSLPSE,EQ,10.7,0.75,23.97,2.85,0.31
BFINVEST,EQ,404.95,0.67,1525.35,0.08,0.3
BLAL,EQ,189.54,0.65,789.33,0.16,0.3
VGINFOTECH,SM,138.4,0.87,344.18,0.22,0.3
SMARTWORKS,EQ,443.75,0.2,5070.38,0.07,0.3
TREEHOUSE,EQ,8.63,12.66,36.51,3.4,0.3
GROWWRLTY,EQ,9.25,1.09,11.02,3.26,0.3
