Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
970CAGL28,ND,1025,0.49,259.56,0.01,0.05
LOWVOL1,EQ,21.38,0.56,172.34,0.25,0.05
VCL,BE,2.1,0.48,38.59,2.5,0.05
HMT,BZ,43.85,3.37,2063.89,0.12,0.05
892PFCL33,N8,1240,0.2,1068.83,0,0.05
91D050326,TB,99.3,0.1,19860,0.05,0.05
SOFTTECH,EQ,280,0.13,387.58,0.02,0.05
DTIL,EQ,145.99,3.51,153.4,0.03,0.05
IIFLZC26,NN,1409,0.07,41.3,0,0.05
ARVINDPORT,SM,29.2,0.52,51.97,0.17,0.05
JMA,EQ,76.95,0.79,175.76,0.06,0.05
PATINTLOG,EQ,12.44,3.15,86.56,0.39,0.05
364D030926,TB,96.1,1.16,5983.53,0.05,0.05
HOACFOODS,ST,315,4.13,136.72,0.01,0.05
MITTAL,EQ,1,1.01,44.39,4.65,0.05
GRCL,SM,371,4.45,212.88,0.01,0.05
STEELCITY,EQ,84,0.1,126.9,0.05,0.05
PRAKASHSTL,BE,4.79,2.57,83.83,0.97,0.05
UMA,SM,19.25,1.58,39.03,0.24,0.05
892NHPC33,N6,1304,0.15,330.73,0,0.05
AROGRANITE,EQ,27.75,1.5,42.46,0.17,0.05
875AEL29,NK,1005.8,0.48,398.66,0,0.05
ISHANCH,EQ,60,0.44,156.84,0.08,0.04
UNIDT,EQ,187.5,1.33,380.68,0.02,0.04
BEWLTD,SM,99.5,4.3,130.08,0.04,0.04
OSWALSEEDS,EQ,13.54,2.11,123.85,0.32,0.04
INFOLLION,SM,361.5,1.46,350.55,0.01,0.04
MOKSH,EQ,13.85,0.73,122.22,0.31,0.04
SOTAC,SM,118.5,4.96,130.94,0.04,0.04
WEWIN,EQ,43.9,2.38,44.61,0.09,0.04
AXISHCETF,EQ,140.72,0.23,20.47,0.03,0.04
SONAMAC,SM,39.1,1.56,53.66,0.11,0.04
960IIFLS26,N9,1046.2,0.38,81.19,0,0.04
MARALOVER,EQ,38.97,1.14,161.76,0.11,0.04
SUNDARAM,EQ,1.59,0.63,75.35,2.62,0.04
TOP15IETF,EQ,10.69,0.09,7.79,0.38,0.04
GSEC5IETF,EQ,64.19,0.47,18.48,0.06,0.04
NEPHROCARE,SM,100.2,2.24,165.19,0.04,0.04
TFL,EQ,14.95,5.06,80.69,0.29,0.04
TNTELE,EQ,9.14,1.78,41.74,0.45,0.04
AGSTRA,BZ,3.99,2.31,51.24,1.02,0.04
BAGFILMS,EQ,5.6,1.08,110.74,0.72,0.04
943ECL28,NJ,992.11,0.01,58.66,0,0.04
BANG,EQ,44.02,0.94,59.69,0.09,0.04
JFLLIFE,SM,10.95,4.78,36.13,0.36,0.04
BOHRAIND,EQ,18.12,9.95,38.36,0.22,0.04
LOVABLE,EQ,73.9,1.23,109.37,0.05,0.04
KOTHARIPRO,EQ,64.99,0.36,387.91,0.06,0.04
TIJARIA,EQ,4.1,4.33,11.74,0.97,0.04
737GS2028,GS,104.35,0.21,78262.5,0.04,0.04
SLONE,SM,230,0.92,121.19,0.02,0.04
SHANTI,EQ,7.15,2,7.94,0.52,0.04
SAMBHAAV,BE,7.93,0.25,151.55,0.46,0.04
702GS2027,GS,101.9,0.2,38722,0.04,0.04
PELATRO,SM,310,2.65,328.52,0.01,0.04
SATTVAENGG,SM,55.5,5.11,96.95,0.06,0.04
ARIHANTACA,SM,455,4.6,275.51,0.01,0.04
SIGIND,EQ,47.92,0.27,141.06,0.08,0.04
MAL,SM,45.8,4.81,113.06,0.08,0.04
NDLVENTURE,EQ,90,0.07,303.04,0.04,0.03
MITCON,EQ,61,4.1,106.25,0.06,0.03
GLOSTERLTD,EQ,600.9,2.62,657.58,0.01,0.03
ACCURACY,EQ,4.98,1.84,74.98,0.7,0.03
RETAIL,EQ,26.3,1.27,19.47,0.13,0.03
HEALTHADD,EQ,140.7,1.11,10.51,0.02,0.03
SONUINFRA,SM,74.95,5.12,77.57,0.04,0.03
MIDCAPBETA,EQ,217.89,0.94,12.35,0.02,0.03
SHREEKARNI,SM,440,0.92,318.06,0.01,0.03
SMARTLINK,EQ,126.03,0.46,125.71,0.03,0.03
726GS2032,GS,106.39,0.37,157457.2,0.03,0.03
ELGNZ,SM,81.5,8.38,184.19,0.04,0.03
AHLEAST,EQ,135.05,2.41,233.52,0.02,0.03
PROFX,SM,67.95,6.09,118.94,0.05,0.03
SNEHAA,SM,52,8.11,52.93,0.06,0.03
INVICTA,SM,64.5,0.08,81.09,0.05,0.03
699GS2026,GS,102.1,0.05,57176,0.03,0.03
S&SPOWER,EQ,270,1.22,333.22,0.01,0.03
ZODIACLOTH,EQ,81.22,0.22,211.12,0.04,0.03
SOLARAPP1,E1,345,3.53,405.75,0.01,0.03
SMALLADD,EQ,15.78,1.28,5.86,0.19,0.03
CORALFINAC,EQ,35.06,0.78,141.3,0.09,0.03
RADIOCITY,EQ,6.09,0.33,210.52,0.48,0.03
REFRACTORY,SM,46.1,0.22,100.5,0.06,0.03
