Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
AJOONI,EQ,4.2,-1.41,72.34,4.12,0.17
CHEMFAB,EQ,392,-0.38,563.45,0.04,0.17
DURLAX,ST,50.45,-0.98,145.96,0.34,0.17
PALASHSECU,EQ,94.51,-2.12,94.54,0.18,0.17
PUSHPA,SM,128,-0.93,310.05,0.13,0.17
ROLLT,EQ,1.68,-4,42.02,9.92,0.17
GENCON,EQ,41.41,-0.96,235.98,0.39,0.16
GLOBALVECT,EQ,182.55,-0.47,255.57,0.09,0.16
709GS2054,GS,97.5,-2.98,144300,0.17,0.16
SBGLP,EQ,26.45,-1.01,458.69,0.61,0.16
RKEC,EQ,36,-3.92,92.95,0.44,0.16
DIGJAMLMTD,EQ,47.56,-2.42,95.12,0.34,0.16
CKKRETAIL,ST,131.2,-1.91,254.11,0.12,0.16
ASHIMASYN,EQ,15.87,-3.82,304.16,0.98,0.16
SPRL,SM,110,-4.56,19.68,0.14,0.16
TREJHARA,EQ,160.17,-0.95,386.28,0.1,0.16
ACSTECH,EQ,40.2,-1.95,243.94,0.38,0.15
ADDICTIVE,SM,88,-4.97,140.01,0.17,0.15
MRIL,SM,36.8,-4.91,81.34,0.42,0.15
XTGLOBAL,EQ,31.56,-1.77,423.29,0.47,0.15
734IRFC28,N4,1065,-0.25,2725.03,0.01,0.15
KAMOPAINTS,BE,5.61,-0.18,176.35,2.71,0.15
EIFFL,EQ,246,-3.56,610.08,0.06,0.15
LATTEYS,EQ,20.52,-5.87,117.98,0.69,0.15
DIGIKORE,SM,68.15,-0.87,86.32,0.22,0.15
BYKE,BE,37.29,-1.11,194.95,0.39,0.14
MALLCOM,EQ,1089.65,-0.26,679.94,0.01,0.14
SHAHALLOYS,EQ,69.05,-2.73,136.7,0.2,0.14
BEWLTD,SM,83.3,-1.36,108.9,0.17,0.14
CURRENT,SM,122.55,-6.38,234.66,0.11,0.14
JETFREIGHT,EQ,20.74,-0.53,96.24,0.67,0.14
NURECA,EQ,265.42,-1.28,253.26,0.05,0.14
VRAJ,EQ,127.82,-0.62,421.58,0.11,0.14
BEACON,SM,98.85,-1.15,178.57,0.14,0.14
AARON,EQ,139.11,-1,291.39,0.1,0.14
UCAL,EQ,101.28,-1.34,223.97,0.14,0.14
ELGNZ,SM,70.75,-3.74,159.89,0.19,0.14
HITECHGEAR,BE,606.55,-2.8,1141.14,0.02,0.13
SAVY,SM,134.1,-2.83,279.04,0.1,0.13
SPECTSTM,ST,69.5,-4.2,160.5,0.19,0.13
SASTASUNDR,EQ,268.25,-0.07,853.32,0.05,0.13
PRADPME,EQ,368.45,-0.14,636.31,0.03,0.13
VLINFRA,SM,34.5,-0.14,54.21,0.38,0.13
ALANKIT,EQ,9.29,-0.32,251.91,1.4,0.13
LRRPL,SM,76.95,-5,66.49,0.17,0.13
PANSARI,EQ,304,-3.93,530.38,0.04,0.13
VDEAL,SM,177.85,-1.74,86.98,0.07,0.13
DIL,BZ,1,-1.96,16.27,12.43,0.12
ANANTAM,IV,105.41,-0.61,2292.67,0.12,0.12
79NHIT47,N3,410.3,-0.62,615.45,0.03,0.12
SSFL,SM,104.95,-2.78,89.95,0.12,0.12
TRU,EQ,6.51,-1.51,77.38,1.8,0.12
10IIFL28A,NE,999.5,-0.05,274.55,0.01,0.12
SBIETFPB,EQ,273,-0.64,408.38,0.04,0.12
SGBMAR30X,GB,15051,-0.01,2317.39,0,0.12
THEINVEST,EQ,109,-2.75,569.44,0.1,0.11
SURAJLTD,EQ,237.5,-3.48,436.15,0.05,0.11
SONAMLTD,EQ,51.76,-2.23,207.21,0.21,0.11
RVHL,EQ,42.24,-0.94,259.04,0.26,0.11
PAR,EQ,91,-0.14,111.97,0.12,0.11
LORDSCHLO,EQ,145,-2.66,415.48,0.07,0.11
AKIKO,ST,223,-2.21,240.16,0.05,0.11
CSSL,SM,105.7,-2.13,254.18,0.1,0.11
FOCE,SM,553.5,-0.09,649.98,0.02,0.11
KAKATCEM,EQ,134.1,-3.23,104.25,0.08,0.1
KEYFINSERV,EQ,297.17,-0.39,165.42,0.03,0.1
719HUDCO28,N7,1034,-0.01,113.11,0.01,0.1
BIL,EQ,769,-2.47,1031.26,0.01,0.1
IBLFL,SM,53.6,-1.11,132.56,0.18,0.1
POSITRON,ST,198.2,-0.13,150.64,0.05,0.1
RAMANEWS,EQ,32.09,-1.56,473.4,0.31,0.1
REXPIPES,SM,194.9,-0.56,184.18,0.05,0.1
GSLSU,EQ,59.42,-0.3,251.83,0.16,0.1
SUNDRMBRAK,EQ,605,-2.03,238.04,0.02,0.1
SUKHJITS,EQ,182,-0.45,568.64,0.05,0.1
ALPA,EQ,68,-0.7,143.08,0.14,0.1
MATRIMONY,EQ,427,-0.35,882.62,0.02,0.1
SICALLOG,BE,68.55,-0.28,546.93,0.14,0.1
ECOLINE,SM,118.05,-3.24,242.18,0.08,0.1
SONUINFRA,SM,56.2,-4.99,66.12,0.17,0.09
OSWALAGRO,BE,49.5,-0.36,664.46,0.19,0.09
TEXMOPIPES,EQ,46.65,-1.14,136.19,0.19,0.09
SINTERCOM,EQ,73.5,-0.77,202.33,0.12,0.09
MAHASTEEL,BE,840,-0.82,1380.49,0.01,0.09
RAJSREESUG,EQ,34.03,-0.53,112.76,0.26,0.09
PSFL,SM,31.55,-2.92,62.1,0.28,0.09
RAJMET,BE,3.99,-0.75,110.32,2.18,0.09
MITCON,EQ,80.7,-2.02,140.57,0.11,0.09
RAJPALAYAM,EQ,775,-1.39,714.57,0.01,0.09
CEREBRAINT,BZ,4.37,-5,52.96,1.94,0.09
GANGESSECU,EQ,125,-0.71,125.05,0.07,0.08
WORTHPERI,EQ,137.02,-1.64,215.82,0.06,0.08
VIJIFIN,BE,3.9,-1.02,55.58,2.13,0.08
GSS,BE,14.75,-4.1,38.58,0.55,0.08
GOLDSTAR,ST,7.2,-4,206.06,1.13,0.08
BALAXI,BE,26.5,-1.63,146.3,0.3,0.08
RNPL,SM,138,-0.36,157.3,0.06,0.08
MAJESAUT,EQ,307.5,-1.91,319.72,0.03,0.08
KAYTEX,SM,72.5,-1.29,106.57,0.11,0.08
MAL,SM,38.4,-4.95,94.79,0.21,0.08
SILINV,EQ,451,-2.72,477.87,0.02,0.08
FALCONTECH,SM,14.25,-0.7,7.63,0.54,0.08
RELCHEMQ,EQ,117.62,-1.15,88.73,0.06,0.08
CLEDUCATE,BE,48.15,-1.07,261.09,0.16,0.08
AAKAAR,ST,54.05,-4.34,76.6,0.13,0.07
PRESSTONIC,ST,45.2,-4.94,68.89,0.16,0.07
ETML,SM,84,-1.18,163.6,0.08,0.07
KANDARP,SM,146,-1.85,131.01,0.05,0.07
ASCOM,ST,273.5,-2.15,320.38,0.03,0.07
TAMBOLIIN,EQ,158,-1.22,156.74,0.04,0.07
SETF10GILT,EQ,257.8,-0.05,3220.8,0.03,0.07
ABAN,BE,18.05,-4.95,105.35,0.36,0.06
CLSL,SM,45.95,-0.11,78.76,0.14,0.06
73GS2053,GS,99.53,-0.42,194083.5,0.06,0.06
LGHL,EQ,263,-0.95,1317.43,0.02,0.06
POLYSIL,ST,158.45,-1.98,356.59,0.04,0.06
DRCSYSTEMS,EQ,15.68,-1.32,225.92,0.4,0.06
CPS,SM,1035,-4.61,235.78,0.01,0.06
SPLIL,EQ,32.71,-2.24,94.86,0.18,0.06
HMT,BZ,62.59,-0.27,2945.93,0.1,0.06
AXISBPSETF,EQ,13.33,-0.07,962.29,0.45,0.06
WEWIN,EQ,56.5,-2.47,57.41,0.1,0.06
SANDESH,EQ,993,-0.44,751.64,0.01,0.06
GOLDKART,SM,191,-4.02,320.6,0.03,0.06
TOKYOPLAST,BE,92.7,-2.28,88.08,0.06,0.06
SKIL,BZ,0.92,-4.17,19.92,5.91,0.06
BLUEPEBBLE,ST,119.5,-3.82,48.76,0.05,0.06
TARMAT,BE,53.7,-0.35,134.6,0.1,0.06
HYBRIDFIN,EQ,19.23,-3.51,56.61,0.28,0.06
NAGREEKCAP,BE,34.4,-3.26,43.4,0.16,0.06
ROCKINGDCE,SM,195,-4.65,110.35,0.03,0.05
BTTL,EQ,33,-2.65,192.63,0.16,0.05
BEDMUTHA,BE,112,-1.66,361.36,0.05,0.05
REPL,BE,80.01,-0.04,145,0.07,0.05
SADBHAV,BE,10.18,-1.93,174.66,0.53,0.05
SANWARIA,BZ,0.19,-5,13.99,27.73,0.05
RSSOFTWARE,BE,42.73,-4.98,110.38,0.12,0.05
ALKALI,EQ,66.04,-0.63,67.25,0.08,0.05
SABEVENTS,BE,9.79,-4.95,10.26,0.52,0.05
ENERGYDEV,EQ,16.92,-0.35,80.37,0.3,0.05
MENNPIS,EQ,57.85,-0.17,295.04,0.09,0.05
INSPIRISYS,BE,81.06,-1.4,321.13,0.06,0.05
DHRUV,EQ,34.85,-0.94,66.1,0.13,0.05
SADBHIN,EQ,2.77,-2.46,97.57,1.69,0.05
BRACEPORT,SM,48,-0.52,54.25,0.1,0.05
ACETEC,SM,130.05,-5.04,213.07,0.04,0.05
RAJPUTANA,SM,239,-0.42,168.1,0.02,0.05
SUMIT,BE,53.32,-0.02,255.18,0.09,0.05
TROM,SM,69.5,-3.41,63.9,0.07,0.05
DHARARAIL,SM,112,-1.67,168.94,0.04,0.05
SHANTI,EQ,7.23,-0.96,8.03,0.63,0.05
ENVIRO,SM,111,-3.23,208.57,0.04,0.04
JAIPURKURT,EQ,33,-0.75,63,0.13,0.04
94SFL28,YL,1097,-1.17,466.1,0,0.04
SUPERHOUSE,EQ,152,-1.05,167.58,0.03,0.04
MPTODAY,SM,40.8,-4.9,18.64,0.1,0.04
NEPTUNE,ST,209.9,-0.05,475.5,0.02,0.04
BALPHARMA,EQ,76.14,-0.21,121.22,0.05,0.04
SIL,EQ,15.8,-2.11,101.64,0.26,0.04
DICIND,EQ,531.1,-2.59,487.5,0.01,0.04
741GS2036,GS,104.99,-0.01,157485,0.04,0.04
APEXECO,SM,122,-1.57,160.86,0.03,0.04
MON50EQUAL,EQ,32.2,-0.25,127.51,0.12,0.04
