Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
APS,SM,319.1,5.93,643.31,0.19,0.59
LAOPALA,EQ,192.6,1.22,2137.86,0.31,0.59
SAHASRA,SM,253.35,4.02,633.19,0.24,0.59
TPLPLASTEH,EQ,62.3,1.1,485.96,0.94,0.59
IT,EQ,42.52,0.35,429.72,1.37,0.58
EVINDIA,EQ,29.63,1.16,154.66,1.96,0.58
HCL-INSYS,EQ,12.1,0.17,398.34,4.74,0.57
SGBJAN29IX,GB,17500,1.42,5022.3,0,0.57
ADVANIHOTR,EQ,57.51,1.34,531.61,0.99,0.57
SWELECTES,EQ,544.45,5.51,825.32,0.11,0.56
KAVDEFENCE,EQ,62.7,4.99,215.53,0.9,0.56
SGBAUG30,GB,18502.1,0.55,6217.46,0,0.56
PSUBANKADD,EQ,91.91,2.37,236.32,0.62,0.56
ASIANHOTNR,EQ,311.85,0.82,606.65,0.18,0.55
AVTNPL,EQ,65.7,4.52,1000.51,0.84,0.55
TOP10ADD,EQ,97.7,0.91,872.24,0.57,0.55
ABSLBANETF,EQ,60.96,0.83,2877.53,0.9,0.54
MUTHOOTCAP,EQ,224,0.63,368.42,0.24,0.54
738GS2027,GS,102.65,0.02,145763,0.53,0.54
NCLIND,EQ,186.44,0.84,843.32,0.29,0.54
EBBETF0433,EQ,1269,0.29,6379.57,0.04,0.53
CELLECOR,SM,28.4,3.09,626.72,1.89,0.53
RITCO,EQ,239.9,0.84,686.66,0.22,0.53
TUNWAL,SM,30.6,2.17,176.54,1.72,0.53
GROWWSC250,EQ,9.15,3.04,11.66,5.79,0.52
SGBJUL29IV,GB,17650,1.55,5160.44,0,0.52
SAHYADRI,EQ,239,1.38,261.62,0.22,0.52
AURUM,EQ,182,2.41,1386.29,0.29,0.52
OSWALGREEN,EQ,28,0.54,719.07,1.86,0.51
KSR,BE,29,4.32,53.3,1.77,0.51
EIHAHOTELS,EQ,330,3.16,2010.9,0.16,0.51
SPCENET,EQ,5.51,4.95,311.92,9.3,0.51
ESFL,SM,150.95,4.83,374.95,0.34,0.51
915APSBC26,N0,101297.41,0.17,556.12,0,0.51
SGBJAN30IX,GB,17879,2.26,4171.51,0,0.5
KALPATARU,EQ,331,1.8,6815.75,0.15,0.5
BHARATGEAR,EQ,111.87,4.37,171.78,0.45,0.5
TICL,BE,22.72,2.02,352.16,2.27,0.5
MGSL,SM,87,0.58,126.86,0.61,0.5
GROWWNIFTY,EQ,10.25,1.49,17.71,4.88,0.5
AFFORDABLE,EQ,174.99,9.54,196.8,0.3,0.5
MOMOMENTUM,EQ,61.55,0.23,123.28,0.79,0.49
DEVX,EQ,36.4,2.08,328.28,1.36,0.49
CHANDAN,SM,262.55,0.57,641.99,0.18,0.48
CHEMFAB,EQ,407,4.28,585.01,0.12,0.48
SUDARCOLOR,EQ,370.5,6.19,855.18,0.13,0.48
SBIBPB,EQ,52.97,1.88,1416.12,0.91,0.48
BIL,EQ,757.2,8.79,1015.44,0.06,0.48
AVG,EQ,145.9,3.93,219.69,0.33,0.47
DONEAR,EQ,83.52,6.1,434.3,0.57,0.47
IGCL,EQ,67.82,1.91,428.79,0.7,0.47
SGBOC28VII,GB,17431,2.59,3241.33,0,0.47
BIRLAMONEY,EQ,119.5,0.56,675.28,0.39,0.47
SCHAND,EQ,154.5,1.16,544.96,0.31,0.47
CENTRUM,EQ,24.16,0.58,1110.34,1.96,0.47
BANKPSU,EQ,91.14,1.56,65.31,0.52,0.47
